,club,squad,avgAge,foreigners,avg_market_value,total_market_value,year,tournament,period
10,Club Necaxa,42.0,24.3,15,995k,41.80m,2019,Apertura,2019/2020
11,UNAM Pumas,50.0,23.7,10,779k,38.93m,2019,Apertura,2019/2020
12,Atlas Guadalajara,40.0,24.5,15,896k,35.85m,2019,Apertura,2019/2020
13,Deportivo Toluca,33.0,26.1,12,1.07m,35.20m,2019,Apertura,2019/2020
14,Monarcas Morelia,40.0,25.5,15,806k,32.23m,2019,Apertura,2019/2020
15,Atlético de San Luis,36.0,26.0,15,862k,31.03m,2019,Apertura,2019/2020
16,FC Juárez,40.0,26.9,16,688k,27.53m,2019,Apertura,2019/2020
17,Puebla FC,47.0,26.8,18,585k,27.48m,2019,Apertura,2019/2020
18,Tiburones Rojos de Veracruz,36.0,27.4,12,377k,13.58m,2019,Apertura,2019/2020
0,CF América,46.0,24.3,19,1.86m,85.50m,2019,Clausura,2019/2020
1,CF Monterrey,41.0,25.1,14,2.05m,83.90m,2019,Clausura,2019/2020
2,Tigres UANL,37.0,25.5,13,1.85m,68.53m,2019,Clausura,2019/2020
3,CD Cruz Azul,38.0,26.5,15,1.76m,66.70m,2019,Clausura,2019/2020
4,Deportivo Guadalajara,42.0,24.8,1,1.55m,65.13m,2019,Clausura,2019/2020
5,Club Tijuana,52.0,25.5,24,1.22m,63.65m,2019,Clausura,2019/2020
6,Santos Laguna,37.0,24.1,9,1.52m,56.25m,2019,Clausura,2019/2020
7,Club León FC,38.0,25.5,14,1.31m,49.60m,2019,Clausura,2019/2020
8,CF Pachuca,40.0,25.7,17,1.23m,49.05m,2019,Clausura,2019/2020
9,Querétaro FC,42.0,25.4,16,1.10m,46.05m,2019,Clausura,2019/2020
10,Club Necaxa,42.0,24.3,15,995k,41.80m,2019,Clausura,2019/2020
11,UNAM Pumas,50.0,23.7,10,779k,38.93m,2019,Clausura,2019/2020
12,Atlas Guadalajara,40.0,24.5,15,896k,35.85m,2019,Clausura,2019/2020
13,Deportivo Toluca,33.0,26.1,12,1.07m,35.20m,2019,Clausura,2019/2020
14,Monarcas Morelia,40.0,25.5,15,806k,32.23m,2019,Clausura,2019/2020
15,Atlético de San Luis,36.0,26.0,15,862k,31.03m,2019,Clausura,2019/2020
16,FC Juárez,40.0,26.9,16,688k,27.53m,2019,Clausura,2019/2020
17,Puebla FC,47.0,26.8,18,585k,27.48m,2019,Clausura,2019/2020
0,CF América,46.0,24.2,16,2.21m,101.70m,2018,Apertura,2018/2019
1,Tigres UANL,46.0,26.2,20,2.04m,93.70m,2018,Apertura,2018/2019
2,CF Monterrey,41.0,24.7,14,2.10m,85.90m,2018,Apertura,2018/2019
3,CD Cruz Azul,41.0,27.1,15,1.99m,81.60m,2018,Apertura,2018/2019
4,CF Pachuca,45.0,25.8,18,1.56m,70.15m,2018,Apertura,2018/2019
5,Deportivo Guadalajara,56.0,24.3,1,1.09m,61.30m,2018,Apertura,2018/2019
6,Santos Laguna,39.0,25.1,14,1.50m,58.65m,2018,Apertura,2018/2019
7,Deportivo Toluca,42.0,27.0,16,1.14m,47.75m,2018,Apertura,2018/2019
8,Club Necaxa,59.0,24.6,16,808k,47.68m,2018,Apertura,2018/2019
9,Club León FC,47.0,25.7,20,946k,44.45m,2018,Apertura,2018/2019
10,Atlas Guadalajara,52.0,24.7,18,813k,42.25m,2018,Apertura,2018/2019
11,Club Tijuana,43.0,25.3,21,977k,42.00m,2018,Apertura,2018/2019
12,Querétaro FC,44.0,25.4,17,934k,41.10m,2018,Apertura,2018/2019
13,UNAM Pumas,39.0,24.6,10,992k,38.70m,2018,Apertura,2018/2019
14,Puebla FC,51.0,26.2,17,618k,31.50m,2018,Apertura,2018/2019
15,Monarcas Morelia,36.0,25.7,12,835k,30.05m,2018,Apertura,2018/2019
16,Tiburones Rojos de Veracruz,53.0,26.1,17,540k,28.60m,2018,Apertura,2018/2019
17,Lobos BUAP (- 2019),37.0,25.9,14,634k,23.45m,2018,Apertura,2018/2019
0,CF América,46.0,24.2,16,2.21m,101.70m,2018,Clausura,2018/2019
1,Tigres UANL,46.0,26.2,20,2.04m,93.70m,2018,Clausura,2018/2019
2,CF Monterrey,41.0,24.7,14,2.10m,85.90m,2018,Clausura,2018/2019
3,CD Cruz Azul,41.0,27.1,15,1.99m,81.60m,2018,Clausura,2018/2019
4,CF Pachuca,45.0,25.8,18,1.56m,70.15m,2018,Clausura,2018/2019
5,Deportivo Guadalajara,56.0,24.3,1,1.09m,61.30m,2018,Clausura,2018/2019
6,Santos Laguna,39.0,25.1,14,1.50m,58.65m,2018,Clausura,2018/2019
7,Deportivo Toluca,42.0,27.0,16,1.14m,47.75m,2018,Clausura,2018/2019
8,Club Necaxa,59.0,24.6,16,808k,47.68m,2018,Clausura,2018/2019
9,Club León FC,47.0,25.7,20,946k,44.45m,2018,Clausura,2018/2019
10,Atlas Guadalajara,52.0,24.7,18,813k,42.25m,2018,Clausura,2018/2019
11,Club Tijuana,43.0,25.3,21,977k,42.00m,2018,Clausura,2018/2019
12,Querétaro FC,44.0,25.4,17,934k,41.10m,2018,Clausura,2018/2019
13,UNAM Pumas,39.0,24.6,10,992k,38.70m,2018,Clausura,2018/2019
14,Puebla FC,51.0,26.2,17,618k,31.50m,2018,Clausura,2018/2019
15,Monarcas Morelia,36.0,25.7,12,835k,30.05m,2018,Clausura,2018/2019
16,Tiburones Rojos de Veracruz,53.0,26.1,17,540k,28.60m,2018,Clausura,2018/2019
17,Lobos BUAP (- 2019),37.0,25.9,14,634k,23.45m,2018,Clausura,2018/2019
